Product URL,Product Name,Product Price,Rating,Number of Reviews,Description,ASIN,Product Description,Manufacturer
https://www.amazon.in/Amazon-Basics-Laptop-Backpack-Repellent/dp/B09W3XLDM2/ref=sxin_17_trfobq2av2_0_B09W3XLDM2?content-id=amzn1.sym.c1eb4b2a-b703-404b-a097-61cb8a5ee3cb%3Aamzn1.sym.c1eb4b2a-b703-404b-a097-61cb8a5ee3cb&crid=2M096C61O4MLT&cv_ct_cx=bags&keywords=bags&pd_rd_i=B09W3XLDM2&pd_rd_r=61326e87-9c78-4086-a0a1-5fdf4dcba352&pd_rd_w=m7Szk&pd_rd_wg=0nwQI&pf_rd_p=c1eb4b2a-b703-404b-a097-61cb8a5ee3cb&pf_rd_r=RCP8YD85TKV6HZS2QDNC&qid=1690371138&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sprefix=ba%2Caps%2C283&sr=1-1-973fd8bd-28ce-479e-8be4-fbaf1193947a,AmazonBasics Laptop Backpack,709.0,4.2,653,NA,NA,NA,NA
https://www.amazon.in/MosQuick%C2%AE-Drawstring-Organizing-Stationery-multipurpose/dp/B09SB5DP5Y/ref=sxin_17_trfobq2av2_1_B09SB5DP5Y?content-id=amzn1.sym.c1eb4b2a-b703-404b-a097-61cb8a5ee3cb%3Aamzn1.sym.c1eb4b2a-b703-404b-a097-61cb8a5ee3cb&crid=2M096C61O4MLT&cv_ct_cx=bags&keywords=bags&pd_rd_i=B09SB5DP5Y&pd_rd_r=61326e87-9c78-4086-a0a1-5fdf4dcba352&pd_rd_w=m7Szk&pd_rd_wg=0nwQI&pf_rd_p=c1eb4b2a-b703-404b-a097-61cb8a5ee3cb&pf_rd_r=RCP8YD85TKV6HZS2QDNC&qid=1690371138&sbo=EO%2BcdOgoisx3waG5xqcZQA%3D%3D&sprefix=ba%2Caps%2C283&sr=1-2-973fd8bd-28ce-479e-8be4-fbaf1193947a,"MosQuick® Clear large Drawstring Bags Clear Plastic Travel Bags, Travel Garments Organizing Storage Plastic Bags ,Shoe bags , Stationery Bag,multipurpose bag - Translucent",310.0,4.0,69,NA,NA,NA,NA
https://www.amazon.in/Amazon-Brand-Presto-Oxo-Biodegradable-Garbage/dp/B0821PYKVK/ref=sxin_17_trfobq2av2_2_B0821PYKVK?content-id=amzn1.sym.c1eb4b2a-b703-404b-a097-61cb8a5ee3cb%3Aamzn1.sym.c1eb4b2a-b703-404b-a097-61cb8a5ee3cb&crid=2M096C61O4MLT&cv_ct_cx=bags&keywords=bags&pd_rd_i=B0821PYKVK&pd_rd_r=61326e87-9c78-4086-a0a1-5fdf4dcba352&pd_rd_w=m7Szk&pd_rd_wg=0nwQI&pf_rd_p=c1eb4b2a-b703-404b-a097-61cb8a5ee3cb&pf_rd_r=RCP8YD85TKV6HZS2QDNC&qid=1690371138&rdc=1&sbo=Tc8eqSFhUl4VwMzbE4fw%2Fw%3D%3D&sprefix=ba%2Caps%2C283&sr=1-3-973fd8bd-28ce-479e-8be4-fbaf1193947a,"Presto! Oxo-Biodegradable Garbage Bags, Large (24 x 32 inches) - 15 bags/roll (Pack of 6, Black, plastic)",329.0,4.3,29,NA,NA,NA,NA
https://www.amazon.in/gp/bestsellers/kitchen/6802467031/ref=sr_bs_3_6802467031_1,"Amazon Brand - Presto! Oxo-Biodegradable Garbage Bags, Medium -(19 x 21 inches) - 30 bags/roll (Pack of 6, Black)",319.0,4.4,33,NA,NA,NA,NA
https://www.amazon.in/Backpack-Toddler-Animal-Cartoon-Travel/dp/B08D5RCWV9/ref=sxin_17_trfobq2av2_4_B08D5RCWV9?content-id=amzn1.sym.c1eb4b2a-b703-404b-a097-61cb8a5ee3cb%3Aamzn1.sym.c1eb4b2a-b703-404b-a097-61cb8a5ee3cb&crid=2M096C61O4MLT&cv_ct_cx=bags&keywords=bags&pd_rd_i=B08D5RCWV9&pd_rd_r=61326e87-9c78-4086-a0a1-5fdf4dcba352&pd_rd_w=m7Szk&pd_rd_wg=0nwQI&pf_rd_p=c1eb4b2a-b703-404b-a097-61cb8a5ee3cb&pf_rd_r=RCP8YD85TKV6HZS2QDNC&qid=1690371138&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sprefix=ba%2Caps%2C283&sr=1-5-973fd8bd-28ce-479e-8be4-fbaf1193947a,Blue Tree Kids Backpack Mini Travel Bag 1-6 Years Cow,298.0,4.0,377,NA,NA,NA,NA
https://www.amazon.in/AmazonBasics-Zippered-Storage-Bags-Window/dp/B07JJCJG5W/ref=sxin_17_trfobq2av2_5_B07JJCJG5W?content-id=amzn1.sym.c1eb4b2a-b703-404b-a097-61cb8a5ee3cb%3Aamzn1.sym.c1eb4b2a-b703-404b-a097-61cb8a5ee3cb&crid=2M096C61O4MLT&cv_ct_cx=bags&keywords=bags&pd_rd_i=B07JJCJG5W&pd_rd_r=61326e87-9c78-4086-a0a1-5fdf4dcba352&pd_rd_w=m7Szk&pd_rd_wg=0nwQI&pf_rd_p=c1eb4b2a-b703-404b-a097-61cb8a5ee3cb&pf_rd_r=RCP8YD85TKV6HZS2QDNC&qid=1690371138&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sprefix=ba%2Caps%2C283&sr=1-6-973fd8bd-28ce-479e-8be4-fbaf1193947a,"AmazonBasics Zippered Storage Bag with Window, Rectangular",619.0,4.3,1,NA,NA,NA,NA
https://www.amazon.in/Blue-Tree-Velvet-Nursery-Travelling/dp/B07QX58HGR/ref=sxin_17_trfobq2av2_6_B07QX58HGR?content-id=amzn1.sym.c1eb4b2a-b703-404b-a097-61cb8a5ee3cb%3Aamzn1.sym.c1eb4b2a-b703-404b-a097-61cb8a5ee3cb&crid=2M096C61O4MLT&cv_ct_cx=bags&keywords=bags&pd_rd_i=B07QX58HGR&pd_rd_r=61326e87-9c78-4086-a0a1-5fdf4dcba352&pd_rd_w=m7Szk&pd_rd_wg=0nwQI&pf_rd_p=c1eb4b2a-b703-404b-a097-61cb8a5ee3cb&pf_rd_r=RCP8YD85TKV6HZS2QDNC&qid=1690371138&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sprefix=ba%2Caps%2C283&sr=1-7-973fd8bd-28ce-479e-8be4-fbaf1193947a,Blue Tree Velvet Kids School/Nursery/Picnic/Carry/Travelling Bag - 2 to 5 Age (_Best_Red_Strawberry),285.0,4.0,217,NA,NA,NA,NA
https://www.amazon.in/Blue-Tree-Velvet-Nursery-Travelling/dp/B07QTQ3CS7/ref=sxin_17_trfobq2av2_7_B07QTQ3CS7?content-id=amzn1.sym.c1eb4b2a-b703-404b-a097-61cb8a5ee3cb%3Aamzn1.sym.c1eb4b2a-b703-404b-a097-61cb8a5ee3cb&crid=2M096C61O4MLT&cv_ct_cx=bags&keywords=bags&pd_rd_i=B07QTQ3CS7&pd_rd_r=61326e87-9c78-4086-a0a1-5fdf4dcba352&pd_rd_w=m7Szk&pd_rd_wg=0nwQI&pf_rd_p=c1eb4b2a-b703-404b-a097-61cb8a5ee3cb&pf_rd_r=RCP8YD85TKV6HZS2QDNC&qid=1690371138&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sprefix=ba%2Caps%2C283&sr=1-8-973fd8bd-28ce-479e-8be4-fbaf1193947a,Blue Tree Velvet Kids School/Nursery/Picnic/Carry/Travelling Bag - 2 to 5 Age (Best_Blue-Rabbit)Pack of 1,298.0,4.2,82,NA,NA,NA,NA
https://www.amazon.in/Amazon-Basics-Laptop-Backpack-Repellent/dp/B09W3XLDM2/ref=sxin_17_trfobq2av2_0_B09W3XLDM2?content-id=amzn1.sym.c1eb4b2a-b703-404b-a097-61cb8a5ee3cb%3Aamzn1.sym.c1eb4b2a-b703-404b-a097-61cb8a5ee3cb&crid=2M096C61O4MLT&cv_ct_cx=bags&keywords=bags&pd_rd_i=B09W3XLDM2&pd_rd_r=c28f5a5b-7c3b-4fcf-a116-509f2b10460f&pd_rd_w=R4TSc&pd_rd_wg=yEMfD&pf_rd_p=c1eb4b2a-b703-404b-a097-61cb8a5ee3cb&pf_rd_r=JHJMG8G5YWV6MVY5CX7T&qid=1690371140&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sprefix=ba%2Caps%2C283&sr=1-1-973fd8bd-28ce-479e-8be4-fbaf1193947a,AmazonBasics Laptop Backpack,709.0,4.2,653,NA,NA,NA,NA
https://www.amazon.in/MosQuick%C2%AE-Drawstring-Organizing-Stationery-multipurpose/dp/B09SB5DP5Y/ref=sxin_17_trfobq2av2_1_B09SB5DP5Y?content-id=amzn1.sym.c1eb4b2a-b703-404b-a097-61cb8a5ee3cb%3Aamzn1.sym.c1eb4b2a-b703-404b-a097-61cb8a5ee3cb&crid=2M096C61O4MLT&cv_ct_cx=bags&keywords=bags&pd_rd_i=B09SB5DP5Y&pd_rd_r=c28f5a5b-7c3b-4fcf-a116-509f2b10460f&pd_rd_w=R4TSc&pd_rd_wg=yEMfD&pf_rd_p=c1eb4b2a-b703-404b-a097-61cb8a5ee3cb&pf_rd_r=JHJMG8G5YWV6MVY5CX7T&qid=1690371140&sbo=EO%2BcdOgoisx3waG5xqcZQA%3D%3D&sprefix=ba%2Caps%2C283&sr=1-2-973fd8bd-28ce-479e-8be4-fbaf1193947a,MosQuick® Clear large Drawstring,310.0,4.0,69,NA,NA,NA,NA
